Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,ChurnIndicator,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,CustomerID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,MonthlyCharges,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,CallDuration,DataUsage,Location,ServicePlan,Complaints,Tenure,SessionCount,CongestionRisk,Cost,Profit,ChurnLabel
37,19,0.0,1,Attitude,Attitude of service provider,74,Palomar Mountain,5171,Month-to-Month,United States,0032-PGELS,Churned,1,0,Female,1,DSL,"33.309852, -116.823091",33.309852,-116.823091,1,30.5,0,1,1,Unknown,0,1,0,1,Bank Withdrawal,0,234,0,Q3,1,1,0,California,0,0,0,1,30.5,0,0.0,0.0,30.5,0,1,92060,1813,16.675514,Bhaktapur,Month-to-Month,6,43,3,High,61.27327133178711,-30.773271331787107,1.0
23,51,43.01,0,Unknown,Unknown,55,Moss Beach,5263,One Year,United States,0048-LUMLS,Stayed,1,0,Male,1,Fiber Optic,"37.515556, -122.502311",37.515556,-122.502311,1,91.2,0,3,1,Offer C,0,0,0,1,Credit Card,1,3064,0,Q3,1,5,0,California,1,1,1,37,3247.55,0,1591.37,0.0,4838.92,1,1,94038,1127,47.025517,Bhaktapur,One Year,6,43,3,High,93.07827476501464,-1.8782747650146376,0.0
48,0,49.58,0,Unknown,Unknown,20,Los Angeles,6061,One Year,United States,0048-PIHNL,Stayed,0,0,Female,0,Fiber Optic,"34.001617, -118.222274",34.001617,-118.222274,1,20.45,0,0,5,Offer B,0,0,0,1,Bank Withdrawal,1,3642,0,Q3,1,3,0,California,0,0,0,49,900.9,0,2429.42,0.0,3330.32,0,0,90058,2352,11.650515,Bhaktapur,One Year,6,43,3,High,64.51577190399169,-44.06577190399169,0.0
28,0,23.12,0,Unknown,Unknown,72,Calexico,5462,One Year,United States,0052-YNYOT,Stayed,0,0,Female,0,Fiber Optic,"32.690654, -115.431225",32.690654,-115.431225,0,20.55,0,0,0,Unknown,0,0,0,0,Bank Withdrawal,1,27804,0,Q3,0,5,0,California,0,0,0,67,1343.4,0,1549.04,30.53,2861.91,1,0,92231,1372,11.700515,Bhaktapur,One Year,6,43,3,High,44.99077219009399,-24.44077219009399,0.0
33,22,0.0,0,Unknown,Unknown,29,Redding,3899,Two Year,United States,0056-EPFBG,Stayed,1,1,Male,1,Cable,"40.677649, -122.29467",40.677649,-122.29467,1,39.4,0,1,4,Unknown,0,1,1,1,Credit Card,0,41476,1,Q3,1,3,0,California,0,0,0,20,825.4,0,0.0,0.0,825.4,0,1,96003,1617,21.125515,Bhaktapur,Two Year,6,43,3,High,64.02827247619629,-24.628272476196294,0.0
31,0,30.64,0,Unknown,Unknown,59,San Martin,4797,Two Year,United States,0057-QBUQH,Stayed,1,0,Female,0,Fiber Optic,"37.084697, -121.606417",37.084697,-121.606417,0,25.1,1,3,0,Unknown,0,0,1,0,Bank Withdrawal,1,5671,0,Q3,0,4,0,California,0,0,0,43,1070.15,0,1317.52,0.0,2387.67,0,0,95046,1519,13.975514,Bhaktapur,Two Year,6,43,3,High,51.3432716178894,-26.2432716178894,0.0
37,9,5.08,0,Unknown,Unknown,42,Stockton,5875,Month-to-Month,United States,0058-EVZWM,Stayed,0,0,Female,1,Fiber Optic,"38.044523, -121.348048",38.044523,-121.348048,1,89.8,1,0,2,Offer B,0,1,1,1,Bank Withdrawal,1,30814,0,Q3,1,3,0,California,0,0,1,55,4959.6,0,279.4,0.0,5239.0,0,1,95209,1813,46.325516,Bhaktapur,Month-to-Month,6,43,3,High,105.74827362060546,-15.948273620605462,0.0
48,0,19.28,0,Unknown,Unknown,57,Huntington Park,5190,Two Year,United States,0064-SUDOG,Stayed,1,0,Female,0,Fiber Optic,"33.97803, -118.217141",33.97803,-118.217141,1,20.3,0,3,3,Unknown,0,0,0,1,Bank Withdrawal,1,78114,0,Q3,1,5,0,California,0,0,0,12,224.5,0,231.36,0.0,455.86,0,0,90255,2352,11.575515,Bhaktapur,Two Year,6,43,3,High,64.40327219009399,-44.10327219009399,0.0
60,23,25.26,0,Unknown,Unknown,46,Yermo,4994,Month-to-Month,United States,0064-YIJGF,Stayed,1,0,Male,1,Fiber Optic,"35.013299, -116.834092",35.013299,-116.834092,1,75.75,1,3,7,Offer C,0,0,1,1,Bank Withdrawal,1,1195,0,Q3,1,3,0,California,0,0,0,27,1929.0,0,682.02,0.0,2611.02,0,1,92398,2940,39.300514,Bhaktapur,Month-to-Month,6,43,3,High,117.75077133178712,-42.00077133178712,0.0
69,27,43.99,1,Competitor,Competitor made better offer,95,San Diego,3475,Month-to-Month,United States,0067-DKWBL,Churned,0,0,Male,1,DSL,"32.961064, -117.134917",32.961064,-117.134917,0,49.25,0,0,0,Unknown,0,1,1,0,Bank Withdrawal,1,47224,0,Q3,0,2,1,California,0,0,0,2,91.1,0,87.98,0.0,179.08,0,1,92129,3381,26.050514,Bhaktapur,Month-to-Month,6,43,3,High,106.69577133178711,-57.445771331787114,1.0
20,59,48.91,0,Unknown,Unknown,54,Fremont,2297,One Year,United States,0068-FIGTF,Stayed,0,1,Female,1,DSL,"37.516791, -121.899117",37.516791,-121.899117,0,78.2,0,0,0,Offer C,1,0,0,0,Credit Card,1,46917,1,Q3,0,3,0,California,1,1,1,27,2078.95,0,1320.57,0.0,3399.52,1,1,94539,980,40.525517,Bhaktapur,One Year,6,43,3,High,80.38827476501464,-2.18827476501464,0.0
54,9,42.95,0,Unknown,Unknown,57,Calistoga,4427,Month-to-Month,United States,0082-LDZUE,Joined,0,0,Male,1,DSL,"38.629618, -122.593216",38.629618,-122.593216,0,44.3,0,0,0,Offer E,0,0,1,0,Credit Card,1,7384,0,Q3,0,5,0,California,0,0,0,1,44.3,0,42.95,0.0,87.25,0,1,94515,2646,23.575514,Bhaktapur,Month-to-Month,6,43,3,High,88.28327075958252,-43.983270759582524,0.0
50,17,2.05,0,Unknown,Unknown,60,Farmington,4561,Month-to-Month,United States,0082-OQIQY,Stayed,0,0,Male,1,Fiber Optic,"37.956963, -120.863055",37.956963,-120.863055,0,94.2,0,0,0,Unknown,0,0,1,0,Bank Withdrawal,1,596,1,Q3,0,5,0,California,1,1,1,29,2607.6,20,59.45,0.0,2687.05,0,0,95230,2450,48.525517,Bhaktapur,Month-to-Month,6,43,3,High,121.78827476501465,-27.588274765014646,0.0
25,69,5.49,0,Unknown,Unknown,67,Tulelake,4761,One Year,United States,0083-PIVIK,Stayed,0,1,Male,1,DSL,"41.813521, -121.492666",41.813521,-121.492666,0,81.25,1,0,0,Unknown,1,1,0,0,Bank Withdrawal,1,2595,1,Q3,0,3,0,California,0,0,1,64,5567.55,40,351.36,0.0,5958.91,1,0,96134,1225,42.050514,Bhaktapur,One Year,6,43,3,High,87.57577133178711,-6.325771331787109,0.0
51,15,37.69,1,Competitor,Competitor had better devices,93,Desert Hot Springs,2832,Month-to-Month,United States,0093-XWZFY,Churned,0,1,Male,1,Fiber Optic,"33.832799, -116.250973",33.832799,-116.250973,0,104.5,1,0,0,Unknown,1,0,1,0,Credit Card,1,5529,0,Q3,0,1,0,California,1,1,1,40,4036.85,0,1507.6,0.0,5544.45,0,1,92241,2499,53.675514,Bhaktapur,Month-to-Month,6,43,3,High,130.49327133178713,-25.993271331787128,1.0
58,15,2.64,0,Unknown,Unknown,48,Santa Rosa,5039,Month-to-Month,United States,0096-FCPUF,Stayed,0,0,Male,1,DSL,"38.526941, -122.709096",38.526941,-122.709096,0,64.5,1,0,0,Unknown,0,1,1,0,Mailed Check,1,35057,0,Q3,0,3,0,California,1,1,0,30,1888.45,0,79.2,0.0,1967.65,0,1,95404,2842,33.675514,Bhaktapur,Month-to-Month,6,43,3,High,107.35327133178711,-42.85327133178711,0.0
66,28,39.49,0,Unknown,Unknown,57,Wilmington,5291,One Year,United States,0100-DUVFC,Stayed,0,1,Male,1,Fiber Optic,"33.782068, -118.262263",33.782068,-118.262263,1,104.8,1,0,3,Unknown,1,0,1,1,Bank Withdrawal,1,53323,0,Q3,1,5,1,California,1,0,1,70,7308.95,0,2764.3,6.11,10067.14,0,1,90744,3234,53.825516,Bhaktapur,One Year,6,43,3,High,145.41827362060548,-40.61827362060548,0.0
20,73,8.01,0,Unknown,Unknown,65,Modesto,6026,One Year,United States,0103-CSITQ,Stayed,0,1,Female,1,Fiber Optic,"37.670526, -120.877572",37.670526,-120.877572,1,109.4,1,0,10,Offer B,1,0,1,1,Bank Withdrawal,1,13343,1,Q3,1,5,0,California,1,1,1,57,6252.7,0,456.57,0.0,6709.27,1,1,95357,980,56.125515,Bhaktapur,One Year,6,43,3,High,103.78827247619628,5.611727523803722,0.0
24,48,25.71,0,Unknown,Unknown,39,Rancho Palos Verdes,3360,Month-to-Month,United States,0106-GHRQR,Stayed,0,1,Male,1,DSL,"33.753146, -118.367459",33.753146,-118.367459,0,71.4,1,0,0,Unknown,1,0,1,0,Bank Withdrawal,1,41263,0,Q3,0,5,0,California,1,1,0,16,1212.1,0,411.36,0.0,1623.46,1,1,90275,1176,37.125515,Bhaktapur,Month-to-Month,6,43,3,High,79.20827247619629,-7.808272476196279,0.0
32,0,31.77,1,Attitude,Attitude of support person,66,West Point,3874,Month-to-Month,United States,0107-WESLM,Churned,0,0,Male,0,Fiber Optic,"38.41935, -120.469545",38.41935,-120.469545,0,19.85,0,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,2198,0,Q3,0,2,0,California,0,0,0,1,19.85,0,31.77,0.0,51.62,0,0,95255,1568,11.350514,Bhaktapur,Month-to-Month,6,43,3,High,48.385771617889404,-28.535771617889402,1.0
40,29,0.0,0,Unknown,Unknown,76,Cambria,5224,Two Year,United States,0114-IGABW,Stayed,0,1,Female,1,Cable,"35.591387, -121.032256",35.591387,-121.032256,1,58.25,0,0,2,Offer A,1,0,0,1,Bank Withdrawal,0,6526,1,Q3,1,5,0,California,1,1,1,71,4145.9,0,0.0,0.0,4145.9,0,1,93428,1960,30.550514,Bhaktapur,Two Year,6,43,3,High,85.02577133178711,-26.775771331787112,0.0
39,12,49.69,0,Unknown,Unknown,33,Round Mountain,4800,Month-to-Month,United States,0114-PEGZZ,Stayed,0,1,Female,1,Fiber Optic,"40.923558, -122.059933",40.923558,-122.059933,0,107.55,1,0,0,Unknown,1,0,0,0,Bank Withdrawal,1,459,0,Q3,0,3,0,California,1,1,1,33,3645.5,0,1639.77,0.0,5285.27,0,1,96084,1911,55.200516,Bhaktapur,Month-to-Month,6,43,3,High,121.02077362060547,-13.47077362060547,0.0
24,59,36.26,1,Attitude,Attitude of service provider,89,Fresno,4123,Month-to-Month,United States,0115-TFERT,Churned,0,1,Male,1,Fiber Optic,"36.841655, -119.797113",36.841655,-119.797113,1,111.2,1,0,1,Unknown,1,0,1,1,Bank Withdrawal,1,3258,1,Q3,1,3,0,California,1,1,1,21,2317.1,120,761.46,0.0,3198.56,1,0,93650,1176,57.025517,Bhaktapur,Month-to-Month,6,43,3,High,109.05827476501464,2.1417252349853584,1.0
45,7,0.0,0,Unknown,Unknown,36,Redway,5052,One Year,United States,0121-SNYRK,Stayed,0,0,Male,1,DSL,"40.142256, -123.852927",40.142256,-123.852927,0,35.4,0,0,0,Offer B,0,1,1,0,Credit Card,0,1851,1,Q3,0,3,0,California,0,0,0,50,1748.9,0,0.0,0.0,1748.9,0,1,95560,2205,19.125515,Bhaktapur,One Year,6,43,3,High,72.78827247619628,-37.388272476196285,0.0
51,19,0.0,0,Unknown,Unknown,45,Stevenson Ranch,3287,Month-to-Month,United States,0128-MKWSG,Stayed,1,0,Female,1,DSL,"34.364153, -118.615583",34.364153,-118.615583,0,45.8,0,2,0,Unknown,0,1,0,0,Credit Card,0,9937,1,Q3,0,4,0,California,1,1,0,26,1147.0,0,0.0,0.0,1147.0,0,1,91381,2499,24.325514,Bhaktapur,Month-to-Month,6,43,3,High,86.46827075958252,-40.668270759582526,0.0
39,23,33.22,0,Unknown,Unknown,20,North Highlands,5943,Month-to-Month,United States,0129-KPTWJ,Stayed,0,1,Male,1,Fiber Optic,"38.671295, -121.388251",38.671295,-121.388251,1,94.65,0,0,9,Unknown,0,0,1,1,Bank Withdrawal,1,32202,0,Q3,1,3,0,California,1,1,1,72,6747.35,0,2391.84,0.0,9139.19,0,1,95660,1911,48.750515,Bhaktapur,Month-to-Month,6,43,3,High,111.34577247619629,-16.695772476196282,0.0
40,16,36.81,1,Competitor,Competitor offered higher download speeds,94,Alhambra,3529,Month-to-Month,United States,0133-BMFZO,Churned,0,0,Female,1,Fiber Optic,"34.074736, -118.145959",34.074736,-118.145959,0,86.25,0,0,0,Unknown,1,1,1,0,Bank Withdrawal,1,30635,1,Q3,0,2,0,California,0,0,0,2,181.65,0,73.62,0.0,255.27,0,1,91803,1960,44.550514,Bhaktapur,Month-to-Month,6,43,3,High,106.02577133178711,-19.775771331787112,1.0
76,17,7.72,0,Unknown,Unknown,71,Santa Monica,3253,One Year,United States,0134-XWXCE,Stayed,0,1,Female,1,DSL,"34.031529, -118.491156",34.031529,-118.491156,0,74.85,0,0,0,Unknown,0,0,0,0,Bank Withdrawal,1,23559,1,Q3,0,5,1,California,1,1,1,44,3268.05,0,339.68,17.91,3589.82,0,1,90403,3724,38.850513,Bhaktapur,One Year,6,43,3,High,132.75577018737795,-57.905770187377954,0.0
57,6,14.38,1,Attitude,Attitude of support person,90,Lodi,5671,Month-to-Month,United States,0135-NMXAP,Churned,0,0,Female,1,Fiber Optic,"38.123544, -121.159078",38.123544,-121.159078,0,89.75,1,0,0,Offer D,1,0,1,0,Bank Withdrawal,1,45755,0,Q3,0,3,0,California,0,0,1,12,1052.4,0,172.56,0.0,1224.96,0,1,95240,2793,46.300514,Bhaktapur,Month-to-Month,6,43,3,High,125.31077133178711,-35.56077133178711,1.0
19,53,4.65,0,Unknown,Unknown,29,Temecula,5361,Month-to-Month,United States,0139-IVFJG,Joined,0,0,Female,1,Fiber Optic,"33.507255, -117.029473",33.507255,-117.029473,1,90.35,0,0,10,Unknown,1,1,0,1,Bank Withdrawal,1,46171,0,Q3,1,3,0,California,0,0,1,2,190.5,0,9.3,0.0,199.8,1,1,92592,931,46.600513,Bhaktapur,Month-to-Month,6,43,3,High,88.52077018737793,1.82922981262206,0.0
57,0,13.34,0,Unknown,Unknown,68,Randsburg,5712,Month-to-Month,United States,0142-GVYSN,Stayed,0,0,Male,0,Fiber Optic,"35.405722, -117.773354",35.405722,-117.773354,0,20.3,0,0,0,Offer C,0,0,1,0,Bank Withdrawal,1,117,0,Q3,0,5,0,California,0,0,0,26,511.25,0,346.84,0.0,858.09,0,0,93554,2793,11.575515,Bhaktapur,Month-to-Month,6,43,3,High,73.223272190094,-52.923272190093996,0.0
73,21,20.15,0,Unknown,Unknown,77,Atascadero,3172,Month-to-Month,United States,0147-ESWWR,Stayed,0,0,Female,1,Fiber Optic,"35.453912, -120.69461",35.453912,-120.69461,1,101.25,1,0,9,Unknown,0,0,1,1,Bank Withdrawal,1,29539,1,Q3,1,4,1,California,1,1,1,39,3949.15,0,785.85,0.0,4735.0,0,1,93422,3577,52.050514,Bhaktapur,Month-to-Month,6,43,3,High,149.61577133178713,-48.36577133178713,0.0
41,8,34.88,1,Competitor,Competitor had better devices,82,Planada,5641,Month-to-Month,United States,0148-DCDOS,Churned,0,0,Male,1,Fiber Optic,"37.329725, -120.306399",37.329725,-120.306399,0,94.7,1,0,0,Unknown,0,0,1,0,Bank Withdrawal,1,4150,0,Q3,0,1,0,California,1,1,1,25,2362.1,0,872.0,0.0,3234.1,0,1,95365,2009,48.775517,Bhaktapur,Month-to-Month,6,43,3,High,113.34327476501466,-18.643274765014652,1.0
43,23,39.81,1,Competitor,Competitor had better devices,78,Moorpark,4739,Month-to-Month,United States,0151-ONTOV,Churned,0,0,Female,1,Fiber Optic,"34.312945, -118.858169",34.312945,-118.858169,0,70.9,0,0,0,Offer E,0,0,0,0,Mailed Check,1,32984,0,Q3,0,1,0,California,0,0,0,1,70.9,0,39.81,0.0,110.71,0,1,93021,2107,36.875515,Bhaktapur,Month-to-Month,6,43,3,High,97.45327247619629,-26.553272476196284,1.0
48,21,27.24,1,Attitude,Attitude of service provider,87,Solvang,5102,Month-to-Month,United States,0156-FVPTA,Churned,0,0,Male,1,DSL,"34.624399, -120.137875",34.624399,-120.137875,1,54.2,0,0,1,Offer D,0,1,1,1,Bank Withdrawal,1,7958,1,Q3,1,2,0,California,0,0,0,22,1152.7,0,599.28,0.0,1751.98,0,1,93463,2352,28.525515,Bhaktapur,Month-to-Month,6,43,3,High,89.82827190399169,-35.62827190399169,1.0
56,5,48.37,0,Unknown,Unknown,69,Calistoga,4589,Two Year,United States,0164-APGRB,Stayed,0,1,Female,1,Fiber Optic,"38.629618, -122.593216",38.629618,-122.593216,0,114.9,1,0,0,Offer A,1,1,1,0,Bank Withdrawal,1,7384,1,Q3,0,4,0,California,1,1,1,72,8496.7,0,3482.64,0.0,11979.34,0,1,94515,2744,58.875515,Bhaktapur,Two Year,6,43,3,High,143.19327247619628,-28.29327247619628,0.0
21,0,9.2,0,Unknown,Unknown,68,San Marcos,5747,Two Year,United States,0174-QRVVY,Stayed,1,0,Male,0,Fiber Optic,"33.119028, -117.166036",33.119028,-117.166036,1,25.35,1,2,2,Unknown,0,0,0,1,Credit Card,1,6760,0,Q3,1,5,0,California,0,0,0,71,1847.55,0,653.2,0.0,2500.75,1,0,92078,1029,14.100514,Bhaktapur,Two Year,6,43,3,High,41.7307716178894,-16.3807716178894,0.0
78,20,25.15,0,Unknown,Unknown,59,Desert Center,5655,One Year,United States,0177-PXBAT,Stayed,0,1,Male,1,Fiber Optic,"33.889605, -115.257009",33.889605,-115.257009,1,109.9,1,0,7,Unknown,0,1,1,1,Bank Withdrawal,1,964,1,Q3,1,3,1,California,1,0,1,33,3694.7,0,829.95,0.0,4524.65,0,1,92239,3822,56.375515,Bhaktapur,One Year,6,43,3,High,161.0032724761963,-51.10327247619628,0.0
60,0,2.69,0,Unknown,Unknown,74,Crows Landing,5949,Month-to-Month,United States,0178-CIIKR,Joined,0,0,Female,0,Fiber Optic,"37.435664, -121.049056",37.435664,-121.049056,0,19.95,0,0,0,Unknown,0,0,0,0,Credit Card,1,1508,0,Q3,0,3,0,California,0,0,0,3,58.0,0,8.07,0.0,66.07,0,0,95313,2940,11.400515,Bhaktapur,Month-to-Month,6,43,3,High,75.90077190399171,-55.95077190399171,0.0
54,13,1.09,0,Unknown,Unknown,76,Tuolumne,3760,Month-to-Month,United States,0178-SZBHO,Stayed,1,0,Male,1,Fiber Optic,"37.939768, -120.188002",37.939768,-120.188002,1,87.2,1,1,7,Unknown,1,0,0,1,Bank Withdrawal,1,3979,0,Q3,1,3,0,California,0,0,1,47,4017.45,0,51.23,0.0,4068.68,0,1,95379,2646,45.025517,Bhaktapur,Month-to-Month,6,43,3,High,120.45827476501465,-33.25827476501465,0.0
42,20,1.76,0,Unknown,Unknown,43,San Diego,5298,Two Year,United States,0181-RITDD,Stayed,1,1,Male,1,Fiber Optic,"32.807867, -117.060993",32.807867,-117.060993,1,108.15,0,3,2,Unknown,1,1,0,1,Credit Card,1,25569,1,Q3,1,4,0,California,1,1,1,62,6825.65,0,109.12,0.0,6934.77,0,1,92120,2058,55.500515,Bhaktapur,Two Year,6,43,3,High,124.41077247619629,-16.26077247619628,0.0
22,48,2.88,0,Unknown,Unknown,59,Auburn,4644,One Year,United States,0186-CAERR,Stayed,0,1,Male,1,Fiber Optic,"38.912881, -121.082766",38.912881,-121.082766,0,116.3,1,0,0,Unknown,1,1,1,0,Bank Withdrawal,1,24944,1,Q3,0,4,0,California,1,1,1,71,8309.55,0,204.48,0.0,8514.03,1,1,95603,1078,59.575516,Bhaktapur,One Year,6,43,3,High,110.92327362060547,5.376726379394526,0.0
71,11,41.97,0,Unknown,Unknown,36,Fresno,5711,Two Year,United States,0187-QSXOE,Stayed,0,0,Male,1,Fiber Optic,"36.623632, -119.741322",36.623632,-119.741322,1,89.0,0,0,8,Unknown,0,0,1,1,Bank Withdrawal,1,21010,0,Q3,1,4,1,California,1,1,1,7,605.45,0,293.79,0.0,899.24,0,1,93725,3479,45.925514,Bhaktapur,Two Year,6,43,3,High,138.4682713317871,-49.46827133178709,0.0
56,28,46.66,0,Unknown,Unknown,57,Del Rey,4331,Month-to-Month,United States,0187-WZNAB,Stayed,1,0,Female,1,Fiber Optic,"36.657462, -119.595293",36.657462,-119.595293,1,74.4,0,2,6,Offer C,0,1,0,1,Credit Card,1,1965,0,Q3,1,3,0,California,0,0,0,27,1972.35,0,1259.82,0.0,3232.17,0,1,93616,2744,38.625515,Bhaktapur,Month-to-Month,6,43,3,High,112.81827247619628,-38.41827247619628,0.0
26,82,2.02,1,Competitor,Competitor offered more data,75,Armona,3573,Month-to-Month,United States,0195-IESCP,Churned,0,0,Male,1,Fiber Optic,"36.315979, -119.710852",36.315979,-119.710852,1,85.25,1,0,1,Offer D,0,0,1,1,Bank Withdrawal,1,2872,0,Q3,1,3,0,California,1,1,0,10,855.3,100,20.2,0.0,975.5,1,0,93202,1274,44.050514,Bhaktapur,Month-to-Month,6,43,3,High,91.55577133178711,-6.305771331787113,1.0
59,28,9.27,0,Unknown,Unknown,68,Clarksburg,5841,Month-to-Month,United States,0196-JTUQI,Stayed,0,0,Female,1,Fiber Optic,"38.384648, -121.578701",38.384648,-121.578701,0,75.2,1,0,0,Unknown,0,0,1,0,Credit Card,1,1417,0,Q3,0,5,0,California,0,0,0,9,633.85,0,83.43,0.0,717.28,0,1,95612,2891,39.025517,Bhaktapur,Month-to-Month,6,43,3,High,116.35827476501464,-41.15827476501464,0.0
